编号|歌名|歌手|语别|类别|拼音|字数|笔画|新歌|版本|原唱音轨|音量|点击率|时长
25000065|馋[杨宗纬]|我是歌手|1|1|C|1|3|1|1|0|60|0|00:00
25000067|爱[羽泉]|我是歌手|1|1|A|1|3|1|1|0|60|0|00:00
25000082|不再掩饰[周晓鸥]|我是歌手|1|1|BZYS|4|1113|1|1|0|60|12|00:00
35000107|Halo[吉克隽逸]|中国好声音|1|1|H|1|0|1|1|0|60|0|00:00
60071564|2reasons|TREYSONGZ/T.I|4|4|ER|1||1|0|0|50|0|
60071568|anymanofmine(演唱会)|张靓颖|4|1|AMOM|1||1|0|0|48|0|
60071569|babybaby|陈启泰|1|1|BB|1||1|0|0|48|0|
60071570|badboy|吴鑫桐|1|1|BB|1||1|0|0|49|0|
60071571|beyourman|小护士|1|1|BYM|1||1|0|0|52|0|
60071572|beautifulchaos|熊宝贝乐团|1|1|BC|1||1|0|0|52|0|
60071574|beautifulluv|大嘴巴|1|1|BL|1||1|0|0|48|0|
60071575|bestforlast|ADELE|4|1|BFL|1||1|0|0|53|0|
60071577|blackheart|STOOSHE|4|1|BH|1||1|0|0|49|0|
60071578|bong|JKAI/DIXON/MIKETOE|1|4|BONG|1||1|0|0|47|0|
60071579|boombiboom|S翼乐团|1|1|BBB|1||1|0|0|52|0|
60071581|buring|MARIAARRDONDO|4|1|BURING|1||1|0|0|52|0|
60071582|colourlove|于瑛楠|1|1|CL|1||1|0|0|49|0|
60071583|crazyforyou|ADELE|4|1|CFY|1||1|0|0|58|0|
60071584|crazyinlove|BEYONCE|4|1|CIL|1||1|0|0|47|0|
60071585|daydreamer|ADELE|4|1|DAYDRE|1||1|0|0|49|0|
60071586|departure|卢凯彤|1|1|DEPART|1||1|0|0|45|0|
60071587|doit|SUNNYHILL|6|1|DI|1||1|0|0|44|0|
60071588|domemore|JW|2|1|DMM|1||1|0|0|48|0|
60071589|Don't be afraid 2012|东南/MAGGIEMCCLURE|1|4|DTBAEL|1||1|0|0|49|0|
60071590|Don't stop the music|DREAMGIRLS|1|1|DTSTM|1||1|0|0|49|0|
60071591|e.t|KATYPERRY|4|1|ET|1||1|0|0|48|0|
60071592|every|TAEN|6|1|EVERY|1||1|0|0|47|0|
60071594|faste|WITHINTEMPTATION|4|1|FASTE|1||1|0|0|49|0|
60071595|feeling good|ADAMLAMBERT|4|1|FG|1||1|0|0|50|0|
60071596|fighting girl|爱戴|1|1|FG|1||1|0|0|48|0|
60071597|fight|小宇|1|1|FIGHT|1||1|0|0|49|0|
60071598|firstlove|ADELE|4|1|FL|1||1|0|0|49|0|
60071599|flower|KYLIEMINOGUE|4|1|FLOWER|1||1|0|0|45|0|
60071604|heartofalonelygirl|DIERKSBENTLEY|4|1|HOALG|1||1|0|0|45|0|
60071605|helicopters|JOSHKUMRA|4|1|HELICO|1||1|0|0|52|0|
60071606|honeymoney(演唱会)|安又琪|1|1|HM|1||1|0|0|45|0|
60071607|howtobeaheartbreaker|MARINA/THEDIAMONDS|4|4|HTBAH|1||1|0|0|53|0|
60071608|iamme|WILLOWSMITH|4|1|IAM|1||1|0|0|54|0|
60071609|icanbelieve|符琼音|1|1|ICB|1||1|0|0|49|0|
60071610|ineedyou|小宇宙|1|1|INY|1||1|0|0|54|0|
60071611|iwillalwaysloveyou(我是歌手)|黄绮珊|4|4|IWALY|1||1|0|0|52|0|
60071612|iwillalwaysloveyou(演唱会)|纪敏佳|4|1|IWALY|1||1|0|0|48|0|
60071613|ifithadn'tbeenforlove|ADELE|4|1|IIHTBF|1||1|0|0|43|0|
60071615|inyoureyes|温流(SHINEE)|6|1|IYE|1||1|0|0|48|0|
60071616|insidemylove|DELILAH|4|1|IML|1||1|0|0|56|0|
60071617|internet|JPM/陈芳语|1|4|INTERN|1||1|0|0|57|0|
60071618|it'sgonnabeme|NSYNC|4|1|ISGBM|1||1|0|0|53|0|
60071619|kissme|POPULADY|1|1|KM|1||1|0|0|54|0|
60071620|kulala(演唱会)|李宇春|1|1|KULALA|1||1|0|0|45|0|
60071842|春|赵枫|1|1|CHUN|1|1|1|0|0|45|0|
60071888|冬|好妹妹乐队|1|1|DONG|1|3|1|0|0|55|0|
60072039|谎|谢沛恩|1|1|HUANG|1|4|1|0|0|52|0|
60076023|Julia[FreshM]|中国最强音|4|1|J|1||1|0|0|60|1|
60076024|BABY[HOPE]|中国最强音|4|1|B|1||1|0|0|60|1|
60076025|MarryYou[HOPE]|中国最强音|4|1|MY|2||1|0|0|60|1|
60076026|WhatMakesYouBeautiful[HOPE]|中国最强音|4|1|WMYB|4||1|0|0|60|1|
60076027|不能说的秘密[HOPE]|中国最强音|1|1|BNSDMM|6|154334|1|0|0|60|1|
60076028|你不是真正的快乐[HOPE]|中国最强音|1|1|NBSZZDKL|8|31211343|1|0|0|60|1|
60076029|别找我麻烦[HOPE]|中国最强音|1|1|BZWMF|5|21344|1|0|0|60|1|
60076030|少年[HOPE]|中国最强音|1|1|SN|2|23|1|0|0|60|1|
60076031|稻香[HOPE]|中国最强音|1|1|DX|2|33|1|0|0|60|1|
60076032|火柴天堂[俞佳]|中国最强音|1|1|HCTT|4|4212|1|0|0|60|1|
60076033|不会消失的夜晚[刘文杰]|中国最强音|1|1|BHXSDYW|7|1343342|1|0|0|60|1|
60076034|至少还有你[刘文杰]|中国最强音|1|1|ZSHYN|5|12113|1|0|0|60|1|
60076035|无地自容[刘文杰/沈根龙/尹熙水/黄泓彬]|中国最强音|1|1|WDZR|4|1134|1|0|0|60|1|
60076036|一块红布[刘明辉]|中国最强音|1|1|YKHB|4|1151|1|0|0|60|1|
60076037|一无所有[刘明辉]|中国最强音|1|1|YWSY|4|1131|1|0|0|60|1|
60076038|存在[刘明辉]|中国最强音|1|1|CZ|2|11|1|0|0|60|1|
60076039|寂寞难耐[刘明辉]|中国最强音|1|1|JMNN|4|4451|1|0|0|60|1|
60076040|彩虹[刘明辉]|中国最强音|1|1|CH|2|32|1|0|0|60|1|
60076041|曾经的你[刘明辉]|中国最强音|1|1|CJDN|4|4533|1|0|0|60|1|
60076042|狼[刘明辉]|中国最强音|1|1|L|1|3|1|0|0|60|1|
60076043|长城[刘明辉]|中国最强音|1|1|CC|2|31|1|0|0|60|1|
60076044|Cappuccino[刘瑞琦]|中国最强音|4|1|C|1||1|0|0|60|1|
60076045|TrueLove[刘瑞琦]|中国最强音|4|1|TL|2||1|0|0|60|1|
60076046|一样的夏天[刘瑞琦]|中国最强音|1|1|YYDXT|5|11311|1|0|0|60|1|
60076047|夏天的风[刘瑞琦]|中国最强音|1|1|XTDF|4|1133|1|0|0|60|1|
60076048|每次和你走在路上都会看见一只喵[刘瑞琦]|中国最强音|1|1|MCHNZZLSDHKJYZM|15|343311221332122|1|0|0|60|1|
60076049|爱是怀疑[刘瑞琦]|中国最强音|1|1|ASHY|4|3243|1|0|0|60|1|
60076050|Payphone[刘瑞琪]|中国最强音|4|1|P|1||1|0|0|60|1|
60076051|JustTheWayYouAre[刘雨潼]|中国最强音|1|1|JTWYA|5||1|0|0|60|1|
60076052|那就这样吧[刘雨潼/杨承熹/赵谨俨/朱晨辰]|中国最强音|1|1|NJZYB|5|54412|1|0|0|60|1|
60076053|漫步[刘鹏远]|中国最强音|1|1|MB|2|42|1|0|0|60|1|
60076054|稻香[卡布奇诺组合/邹施如/她的吉他手组合/温蕊儿]|中国最强音|1|1|DX|2|33|1|0|0|60|1|
60076055|把悲伤留给自己[叶铮]|中国最强音|1|1|BBSLGZJ|7|1233535|1|0|0|60|1|
60076056|千言万语[吴申梅]|中国最强音|1|1|QYWY|4|3414|1|0|0|60|1|
60076057|香港,香港[唐艺]|中国最强音|1|1|XGXG|4|3434|1|0|0|60|1|
60076058|你的甜蜜[墨绿森林]|中国最强音|1|1|NDTM|4|3334|1|0|0|60|1|
60076059|只爱陌生人[墨绿森林]|中国最强音|1|1|ZAMSR|5|23533|1|0|0|60|1|
60076060|爱[墨绿森林]|中国最强音|1|1|A|1|3|1|0|0|60|1|
60076061|爱我请举手[墨绿森林]|中国最强音|1|1|AWQJS|5|33443|1|0|0|60|1|
60076062|王妃[墨绿森林]|中国最强音|1|1|WF|2|15|1|0|0|60|1|
60076063|给自己的歌[夏雨]|中国最强音|1|1|GZJDG|5|53531|1|0|0|60|1|
60076064|天空[宾俊杰]|中国最强音|1|1|TK|2|14|1|0|0|60|1|
60076065|矜持[宾俊杰]|中国最强音|1|1|JC|2|51|1|0|0|60|1|
60076066|你把我灌醉[尹熙水]|中国最强音|1|1|NBWGZ|5|31341|1|0|0|60|1|
60076067|北京北京[尹熙水]|中国最强音|1|1|BJBJ|5|2424|1|0|0|60|1|
60076068|彩虹[尹熙水]|中国最强音|1|1|CH|2|32|1|0|0|60|1|
60076069|想太多[尹熙水]|中国最强音|1|1|XTD|3|113|1|0|0|60|1|
60076070|我只在乎你[尹熙水]|中国最强音|1|1|WZZHN|5|32133|1|0|0|60|1|
60076071|放手去爱[尹熙水]|中国最强音|1|1|FSQA|4|4313|1|0|0|60|1|
