歌手|类别|地区|拼音|字数|点击率|笔画
中国最强音|1|11|ZGZQY|5|78946|22254
中国好声音|1|11|ZGHSY|5|78945|
我是歌手|3|11|WSGS|4|5234|
龙梅子|2|11|LMZ|3|1045|
龚玥|2|11|GY|2|1043|
龙千玉|2|12|LQY|3|1033|
齐秦|1|12|QQ|2|1010|
黄雅莉|2|11|HYL|3|1002|
龚诗嘉|2|12|GSJ|3|999|
龙晓飞|1|11|LXF|3|999|
龙川|1|11|LC|2|998|
龚秋霞|2|11|GQX|3|998|
龙梅|2|11|LM|2|996|
龙飘飘|2|12|LPP|3|996|
黑龙|1|11|HL|2|992|
龙宽九段|3|11|LKJD|4|991|
齐旦布|1|11|QDB|3|989|
黑鸭子|3|11|HYZ|3|988|
龙劭华|1|12|LSH|3|988|
龙军|1|11|LJ|2|987|
齐豫|2|12|QY|2|985|
齐峰|1|11|QF|2|984|
齐子旭|1|90|QZX|3|981|
黑雨|1|11|HY|2|977|
黄韵玲|2|12|HYL|3|976|
黑豹乐队|3|11|HBLD|4|976|
黑眼豆豆|3|20|HYDD|4|976|
黑色饼干|3|11|HSBG|4|975|
黑涩会美眉|3|12|HSHMM|5|972|
黑棒|3|11|HB|2|971|
黑GIRL|3|12|HG|2|970|
黎齐|1|11|LQ|2|969|
黎骏|1|11|LJ|2|968|
黄绮珊|2|12|HQS|3|966|
黎耀祥|1|12|LYX|3|966|
黎田康子|2|12|LTKZ|4|965|
黎瑞莲|2|12|LRL|3|964|
黎瑞恩|2|12|LRE|3|963|
黄龄 |2|12|HL|2|962|
黎明|1|12|LM|2|962|
黎沸挥|1|12|LFH|3|961|
黄鸿升|1|11|HHS|3|960|
黎明柔|2|12|LMR|3|959|
黎姿|2|12|LZ|2|956|
黄鹤翔|1|11|HHX|3|953|
黄贯中|1|12|HGZ|3|951|
黄馨|2|12|HX|2|950|
黄英|2|11|HY|2|950|
黄靖伦|1|12|HJL|3|945|
黄思婷|2|12|HST|3|942|
黄雅珉|2|12|HYM|3|941|
黄阅|1|12|HY|2|940|
黄铠晴|2|12|HKQ|3|939|
黄莺莺|2|12|HYY|3|939|
黄鑫|1|11|HX|2|938|
黄耀明|1|12|HYM|3|938|
黄征|1|11|HZ|2|937|
黄连煜|1|12|HLY|3|937|
黄越峰|1|11|HYF|3|936|
黄芳|2|11|HF|2|935|
黄西田|1|11|HXT|3|934|
黄艺明|1|11|HYM|3|930|
黄舒骏|1|12|HSJ|3|929|
黄翊|1|12|HY|2|927|
黄美诗|2|20|HMS|3|926|
黄维德|1|12|HWD|3|924|
黄红英|2|12|HHY|3|922|
黄立行|1|12|HLH|3|921|
黄灿|2|11|HC|2|919|
黄立全|1|11|HLQ|3|918|
黄秋生|1|12|HQS|3|917|
黄磊|1|11|HL|2|916|
黄瑞琪|1|12|HRQ|3|915|
黄淑惠|2|12|HSH|3|912|
黄凯芹|1|12|HKQ|3|911|
黄小琥|2|12|HXH|3|910|
黄湘怡|2|12|HXY|3|908|
黄清元|1|11|HQY|3|907|
黄海涛|1|11|HHT|3|904|
