编号|歌名|歌手|语别|类别|拼音|字数|笔画|新歌|版本|原唱音轨|音量|点击率|时长
25000000|当我想你的时候[陈明]|我是歌手|1|1|L|1|0|1|1|0|60|0|00:00
25000001|等你爱我[陈明]|我是歌手|1|1|DNAW|4|3333|1|1|0|60|0|00:00
25000002|情人的眼泪[陈明]|我是歌手|1|1|QRDYL|5|43324|1|1|0|60|0|00:00
25000003|日不落[陈明]|我是歌手|1|1|RBL|3|211|1|1|0|60|0|00:00
25000004|听说爱情回来过[陈明]|我是歌手|1|1|TSAQHLG|7|2434211|1|1|0|60|0|00:00
25000005|心痛的感觉[陈明]|我是歌手|1|1|XTDGJ|5|44314|1|1|0|60|0|00:00
25000006|新不了情[陈明]|我是歌手|1|1|XBLQ|4|4154|1|1|0|60|0|00:00
25000007|寂寞让我如此美丽[陈明]|我是歌手|1|1|JMRWRCML|8|44435241|1|1|0|60|0|00:00
25000008|梨花又开放[陈明]|我是歌手|1|1|LHYKF|5|31514|1|1|0|60|0|00:00
25000009|海阔天空[黄贯中]|我是歌手|2|1|HKTK|4|4414|1|1|0|60|0|00:00
25000010|吻别[黄贯中]|我是歌手|1|1|WB|2|22|1|1|0|60|0|00:00
25000011|我终于失去了你[黄贯中]|我是歌手|1|1|WZYSQLN|7|3513153|1|1|0|60|0|00:00
25000012|特别的爱给特别的你[黄贯中]|我是歌手|1|1|TBDAGTBDN|9|323353233|1|1|0|60|0|00:00
25000013|我就是这样的[黄贯中]|我是歌手|1|1|WJSZYD|6|342413|1|1|0|60|0|00:00
25000014|iwillalwaysloveyou[黄绮珊]|我是歌手|1|1|IWALY|5|0|1|1|0|60|0|00:00
25000015|ThePowerOfLove[黄绮珊]|我是歌手|1|1|TPOL|4|0|1|1|0|60|0|00:00
25000016|等待[黄绮珊]|我是歌手|1|1|DD|2|33|1|1|0|60|0|00:00
25000017|跟着感觉走[黄绮珊]|我是歌手|1|1|GZGJZ|5|24141|1|1|0|60|0|00:00
25000018|回来[黄绮珊]|我是歌手|1|1|HL|2|21|1|1|0|60|0|00:00
25000019|离不开你[黄绮珊]|我是歌手|1|1|LBKN|4|4113|1|1|0|60|0|00:00
25000020|牵手[黄绮珊]|我是歌手|1|1|QS|2|13|1|1|0|60|0|00:00
25000021|让我一次爱个够[黄绮珊]|我是歌手|1|1|RWYCAGG|7|4314333|1|1|0|60|0|00:00
25000022|不让我的眼泪陪我过夜[黄绮珊]|我是歌手|1|1|BRWDYLPWGY|10|1433245314|1|1|0|60|0|00:00
25000023|剪爱[黄绮珊]|我是歌手|1|1|JA|2|43|1|1|0|60|0|00:00
25000024|Opera[林志炫]|我是歌手|1|1|O|1|0|1|1|0|60|0|00:00
25000025|没离开过[林志炫]|我是歌手|1|1|MLKG|4|4411|1|1|0|60|0|00:00
25000026|你的眼神[林志炫]|我是歌手|1|1|NDYS|4|3324|1|1|0|60|0|00:00
25000027|烟花易冷[林志炫]|我是歌手|1|1|YHYL|4|4124|1|1|0|60|0|00:00
25000028|MakingLoveOutOfNothingAtAll[林志炫]|我是歌手|1|1|MLOONAA|7|0|1|1|0|60|0|00:00
25000029|走在红毯那一天[彭佳慧]|我是歌手|4|1|ZZHTNYT|7|1153511|1|1|0|60|0|00:00
25000030|如果云知道[齐秦]|我是歌手|1|1|RGYZD|5|52134|1|1|0|60|0|00:00
25000031|夜夜夜夜[齐秦]|我是歌手|1|1|YYYY|4|4444|1|1|0|60|0|00:00
25000032|用心良苦[齐秦]|我是歌手|1|1|YXLK|4|3441|1|1|0|60|0|00:00
25000033|张三的歌[齐秦]|我是歌手|1|1|ZSDG|4|5131|1|1|0|60|0|00:00
25000034|我只在乎你[齐秦]|我是歌手|1|1|WZZHN|5|32133|1|1|0|60|0|00:00
25000035|爱让每个人都心碎[沙宝亮]|我是歌手|4|1|ARMGRDXS|8|34333141|1|1|0|60|0|00:00
25000036|鸿雁[沙宝亮]|我是歌手|1|1|HY|2|41|1|1|0|60|0|00:00
25000037|浏阳河[沙宝亮]|我是歌手|1|1|LYH|3|454|1|1|0|60|0|00:00
25000038|你把我灌醉[沙宝亮]|我是歌手|1|1|NBWGZ|5|31341|1|1|0|60|0|00:00
25000039|你快回来[沙宝亮]|我是歌手|1|1|NKHL|4|3421|1|1|0|60|0|00:00
25000040|女人的选择[沙宝亮]|我是歌手|1|1|NRDXZ|5|53331|1|1|0|60|0|00:00
25000041|秋意浓[沙宝亮]|我是歌手|1|1|QYN|3|344|1|1|0|60|0|00:00
25000042|SomeoneLikeYou[沙宝亮]|我是歌手|1|1|SLY|3|0|1|1|0|60|0|00:00
25000043|飘[沙宝亮]|我是歌手|1|1|P|1|1|1|1|0|60|0|00:00
25000044|死了都要爱[沙宝亮]|我是歌手|1|1|SLDYA|5|15113|1|1|0|60|0|00:00
25000045|往事随风[沙宝亮]|我是歌手|1|1|WSSF|4|3153|1|1|0|60|0|00:00
25000046|最初的信仰[沙宝亮]|我是歌手|1|1|ZCDXY|5|24333|1|1|0|60|0|00:00
25000048|ManInTheMirror[尚雯婕]|我是歌手|1|1|MITM|4|0|1|1|0|60|0|00:00
25000049|MovesLikeJagger[尚雯婕]|我是歌手|1|1|MLJ|3|0|1|1|0|60|0|00:00
25000050|SuperStar[尚雯婕]|我是歌手|1|1|SS|2|0|1|1|0|60|0|00:00
25000051|可惜不是你[尚雯婕]|我是歌手|1|1|KXBSN|5|14123|1|1|0|60|0|00:00
25000052|你怎么舍得我难过[尚雯婕]|我是歌手|1|1|NZMSDWNG|8|33333351|1|1|0|60|0|00:00
25000053|王妃[尚雯婕]|我是歌手|1|1|WF|2|15|1|1|0|60|0|00:00
25000054|最终信仰[尚雯婕]|我是歌手|1|1|ZZXY|4|2533|1|1|0|60|0|00:00
25000055|DogDaysAreOver[尚雯婕]|我是歌手|1|1|DDAO|4|0|1|1|0|60|0|00:00
25000056|LoveWarrior战[尚雯婕]|我是歌手|1|1|LWZ|4|2|1|1|0|60|0|00:00
25000057|我[尚雯婕]|我是歌手|1|1|W|1|3|1|1|0|60|0|00:00
25000058|领悟[辛晓琪]|我是歌手|1|1|LW|2|34|1|1|0|60|0|00:00
25000059|至少还有你[辛晓琪]|我是歌手|1|1|ZSHYN+WD|8|1211324|1|1|0|60|0|00:00
25000060|亲爱的小孩[辛晓琪]|我是歌手|1|1|QADXH|5|43325|1|1|0|60|0|00:00
25000061|原来的我[辛晓琪]|我是歌手|1|1|YLDW|4|1133|1|1|0|60|0|00:00
25000062|矜持[杨宗纬]|我是歌手|1|1|JC|2|51|1|1|0|60|0|00:00
25000063|空白格[杨宗纬]|我是歌手|1|1|KBG|3|431|1|1|0|60|0|00:00
25000064|征服[杨宗纬]|我是歌手|1|1|ZF|2|33|1|1|0|60|0|00:00
25000065|馋[杨宗纬]|我是歌手|1|1|C|1|3|1|1|0|60|0|00:00
25000066|流浪记[杨宗纬]|我是歌手|1|1|LLJ|3|444|1|1|0|60|0|00:00
25000067|爱[羽泉]|我是歌手|1|1|A|1|3|1|1|0|60|0|00:00
25000068|大中国&WeWillRockYou[羽泉]|我是歌手|1|1|DZG&WRY|7|122|1|1|0|60|0|00:00
25000069|老男孩[羽泉]|我是歌手|1|1|LNH|3|125|1|1|0|60|0|00:00
25000070|热情的沙漠[羽泉]|我是歌手|1|1|RQDSM|5|14344|1|1|0|60|0|00:00
25000071|我想有个家[羽泉]|我是歌手|1|1|WXYGJ|5|31134|1|1|0|60|0|00:00
25000072|心似狂潮[羽泉]|我是歌手|1|1|XSKC|4|4334|1|1|0|60|0|00:00
25000073|再回首[羽泉]|我是歌手|1|1|ZHS|3|124|1|1|0|60|0|00:00
25000074|烛光里的妈妈[羽泉]|我是歌手|1|1|ZGLDMM|6|422355|1|1|0|60|0|00:00
25000075|狂流[羽泉]|我是歌手|1|1|KL|2|34|1|1|0|60|0|00:00
25000076|男人哭吧不是罪[羽泉]|我是歌手|1|1|NRKBBSZ|7|2322122|1|1|0|60|0|00:00
25000077|爱不爱我[周晓欧]|我是歌手|1|1|ABAW|4|3133|1|1|0|60|0|00:00
25000078|天空[周晓鸥]|我是歌手|1|1|TK|2|14|1|1|0|60|0|00:00
25000079|无地自容[周晓鸥]|我是歌手|1|1|WDZR|4|1134|1|1|0|60|0|00:00
25000080|无情的雨无情的你[周晓鸥]|我是歌手|1|1|WQDYWQDN|8|14311433|1|1|0|60|0|00:00
25000081|爱情宣言+九个太阳[周晓鸥]|我是歌手|1|1|AQXY+JGTY|9|34443315|1|1|0|60|0|00:00
25000082|不再掩饰[周晓鸥]|我是歌手|1|1|BZYS|4|1113|1|1|0|60|12|00:00
35000083|前辈(MTV)[阿良伟/张玉霞]|中国好声音||1|QB|2|42|1|1|0|60|0|00:00
35000084|爱要坦荡荡[丁丁]|中国好声音|1|1|AYTDD|5|31111|1|1|0|60|0|00:00
35000085|最浪漫的事(MTV)[丁少华]|中国好声音|1|1|ZLMDS|5|24431|1|1|0|60|0|00:00
35000086|刀剑如梦[董贞]|中国好声音|1|1|DJRM|4|5351|1|1|0|60|0|00:00
35000087|剑如虹(MTV)[董贞]|中国好声音|1|1|JRH|3|352|1|1|0|60|0|00:00
35000088|三个人的时光(MTV)[董贞]|中国好声音|1|1|SGRDSG|6|133322|1|1|0|60|0|00:00
35000089|问剑(MTV)[董贞]|中国好声音|1|1|WJ|2|43|1|1|0|60|0|00:00
35000090|爱没有尽头[HD](MTV)[多亮]|中国好声音|1|1|AMYJT|5|34154|1|1|0|60|0|00:00
35000091|不宽的肩膀[HD][多亮]|中国好声音|1|1|BKDJB|5|14343|1|1|0|60|0|00:00
35000092|大病一场[HD](MTV)[多亮]|中国好声音|1|1|DBYC|4|1411|1|1|0|60|0|00:00
35000093|你的背包[多亮]|中国好声音|1|1|NDBB|4|3323|1|1|0|60|0|00:00
35000094|加油(MTV)[歌浴森]|中国好声音|1|1|JY|2|54|1|1|0|60|0|00:00
35000095|神曲2012(MTV)[歌浴森]|中国好声音|1|1|SQELYE|3|42|1|1|0|60|0|00:00
35000096|Don t Break My Heart[关喆/张玮琪]|中国好声音|1|1|DTBMH|5|0|1|1|0|60|0|00:00
35000097|你把我灌醉[关喆]|中国好声音|1|1|NBWGZ|5|31341|1|1|0|60|0|00:00
35000098|如果分开我也爱你(MTV)[关喆]|中国好声音|1|1|RGFKWYAN|8|52313533|1|1|0|60|0|00:00
